tu_id	speaker	start	end	duration	text
48	SP3	78.800	80.000	1.200	si pure tu sei un maiale però
49	SP1	80.020	82.600	2.580	hai [mangiato pure le salsi]cce e [un sacco di] friarielli
50	SP3	80.184	81.121	0.937	[ti sto dicendo]
51	SP3	81.221	81.847	0.626	[perché]
52	SP3	82.190	84.020	1.830	perché praticamente noi abbiamo comprato
53	SP3	84.100	85.920	1.820	questi gelati pan di stelle
54	SP3	85.920	87.420	1.500	che erano quelli là tipo a biscotto
55	SP3	87.500	89.342	1.842	che ce ne erano due in una:
56	SP3	89.395	90.211	0.816	bustina
57	SP3	90.432	92.916	2.484	io ho detto voglio questo però voglio anche quello al caramello
58	SP3	93.040	94.074	1.034	quindi ho mangiato uno
59	SP3	94.100	95.760	1.660	di quelli io ho dato l'altro a lui
60	SP3	95.760	99.632	3.872	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico
61	SP3	99.980	102.020	2.040	quindi la cosa che adesso io sono il porco e tu no
62	SP3	102.860	103.695	0.835	lasciamo stare
63	SP2	103.716	105.860	2.144	in generale: per una giornata:
64	SP2	105.960	107.960	2.000	c'è stato tanto cibo un po' chiatto
65	SP3	108.080	110.280	2.200	ma è domenica è festa [lo sanno tutti]
66	SP2	109.647	110.900	1.253	[eh lo so pe][rò:]
67	SP1	110.505	111.963	1.458	[mh] chiediamolo al diabete
68	SP1	111.968	114.080	2.112	di terzo tipo che avremo tra un paio di anni
69	SP2	116.021	117.453	1.432	tra [un paio di anni] {ride}
70	SP3	116.200	118.658	2.458	[sì perché tutti i giorni] mangio così ovviamente
71	SP1	120.620	122.360	1.740	(nervosamente) mi fa venire
72	SP2	122.360	124.137	1.777	avete mangiato l'insalata ieri eh
73	SP1	124.200	125.805	1.605	ieri ho mangiato l'insalatina
74	SP2	128.120	129.768	1.648	no non mi guardare così che ho detto?
75	SP1	129.931	131.495	1.564	vuoi sapere che c'era nell'insalatina?
76	SP1	131.500	132.905	1.405	c'erano i cubetti
77	SP2	133.200	134.500	1.300	di formaggio e di sa[lame
78	SP1	134.000	134.800	0.800	[di provolone]
79	SP2	134.542	135.537	0.995	(me l'ha] d[etto)]
80	SP1	134.868	135.847	0.979	[i: cubetti] di sa-
81	SP1	135.900	137.832	1.932	e ti sembra un'insalatina [questa]?
82	SP2	137.274	140.926	3.652	[va be'] però x non è che ha esaggerato sono degli affettati con l'insalata
83	SP2	140.942	142.016	1.074	c(io)è un pranzo:
84	SP3	142.174	142.811	0.637	[allora (miri)]
85	SP2	142.174	143.511	1.337	[(secondo me) non] trop[po:]
86	SP3	143.179	143.732	0.553	[te lo] giuro
87	SP3	143.779	145.763	1.984	ti ti fidi di me quando ti dico una cosa?
88	SP3	145.989	148.068	2.079	c(io)è non dico non ti ho mai detto una bugia in vita mia a te
89	SP3	148.770	149.065	0.295	allora
90	SP3	150.616	151.626	1.010	ho messo mezza
91	SP3	152.047	153.137	1.090	cosa di iceberg
92	SP3	153.592	154.655	1.063	poi ci ho messo
93	SP3	154.820	158.232	3.412	quattro fette contate di salame tagliate a cubetti
94	SP3	159.040	160.532	1.492	mezzo pezzo di auricchio
95	SP3	160.563	162.821	2.258	cioè di: provolone tagliato a cubetti
96	SP3	163.300	163.647	0.347	e
97	SP3	163.658	164.947	1.289	due fettine di pane
98	SP3	164.963	167.953	2.990	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino
99	SP2	168.089	168.279	0.190	mh
100	SP3	168.479	168.874	0.395	basta
101	SP3	170.440	172.568	2.128	x ah è una carota:
102	SP2	171.094	172.247	1.153	xxxxxxx
103	SP3	172.580	174.300	1.720	che l'ho tagliata piccolina piccoli[na]
104	SP2	174.020	175.679	1.659	[no] secondo me la carota non ci stava bene
105	SP3	175.680	176.460	0.780	invece stava bene
106	SP2	176.637	176.789	0.152	sì?
107	SP2	177.500	180.340	2.840	no comunque no per me è un pranzo [standard]
108	SP3	179.542	180.700	1.158	[non è un pranzo] grasso
109	SP2	180.705	181.105	0.400	no
110	SP3	183.840	185.580	1.740	pranzo che è terminato col gelato
111	SP2	186.158	186.421	0.263	ah
112	SP3	186.679	187.780	1.101	[non solo per] me
113	SP2	186.694	187.505	0.811	[questo xxx]
114	SP3	187.900	188.660	0.760	ma anche per lui
115	SP3	188.732	189.074	0.342	quin[di]
116	SP2	188.853	191.640	2.787	[va be'] però comunque in generale state un pochino:
117	SP2	191.647	192.937	1.290	dando alla pazza gioia eh
118	SP1	193.160	194.240	1.080	ma io non sto dicendo
119	SP1	194.320	196.632	2.312	marco stai mangiando come il maiale
120	SP1	196.660	197.980	1.320	marco avrà diabete
121	SP1	198.000	200.060	2.060	sto dicendo marco entrambi
122	SP1	200.180	201.860	1.680	assumiamoci le responsabilità
123	SP1	202.260	203.830	1.570	che noi già viviamo in una terra
124	SP1	203.830	206.221	2.391	di merda che ci porta naturalmente
125	SP1	206.242	207.205	0.963	a morire prima
126	SP1	207.205	208.800	1.595	poi mangiamo anche molto male
127	SP2	208.805	210.305	1.500	però tipo ieri avete mangiato le [xxx]
128	SP3	209.795	211.180	1.385	[parla per] te io non abito qua
129	SP1	213.000	213.900	0.900	marco ma va cac
130	SP2	214.737	215.405	0.668	xxxx
131	SP3	215.195	216.220	1.025	si ma questo gay drama
132	SP3	216.240	217.140	0.900	non ho capito
133	SP3	217.305	217.979	0.674	co sta cosa che
134	SP3	220.963	222.510	1.547	per forza dobbiamo litigarci ogni volta
135	SP1	224.820	225.780	0.960	ma se vuoi
136	SP1	226.220	227.730	1.510	°(possiamo anche non litigarci più)°
137	SP1	229.758	230.599	0.841	a casa mia
138	SP3	230.605	231.284	0.679	{ride}
139	SP3	231.320	233.563	2.243	è già la trentesima volta che lo dici (ja) {ride}
140	SP3	233.846	234.162	0.316	{ride}
141	SP3	234.740	236.584	1.844	lo sai che non è quello che voglio quindi:
142	SP1	237.500	239.610	2.110	°beh forse mi sono scocciato di stare [qua]°
143	SP3	239.295	241.420	2.125	[bravo] forse se tu ti sei scocciato ti riaccompagno
144	SP3	241.500	243.140	1.640	però se è per me lo sai che non è così
145	SP3	244.800	246.537	1.737	e evitiamo di continuare questo discorso
146	SP3	246.600	248.100	1.500	al momento che non mi sembra il caso
147	SP2	253.360	254.868	1.508	no anche perché mi deve venire il ciclo
148	SP2	254.900	256.510	1.610	mi metto a piangere se litigate
149	SP3	256.620	258.019	1.399	no amo mo ci prendiamo il gelato
150	SP3	258.019	259.294	1.275	così ti facciamo stare feli[ce]
151	SP1	259.310	259.658	0.348	[ec]co qua
152	SP2	260.389	262.132	1.743	aspetta xxxxxx digeriamo
153	SP1	262.216	263.500	1.284	sì mi fumo una sigaretta
