tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	Error rate	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
43	SP1	70.95	72.344	1.394	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	hai mangiato quello al caramello	hai mangiato quello al caramello	hai mangiato quello al caramello
44	SP1	72.35	73.358	1.008	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	e ne hai mangiato un al[tro]	e ne hai mangiato un al[tro]	e ne hai mangiato un altro
45	SP3	73.16	74.453	1.293	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	5	[no no]n l'ho mangiato un altro	[no no]n l'ho mangiato un altro	no non l'ho mangiato un altro
46	SP3	75.3	77.253	1.953	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	10	ho man- perché noi abbiamo comprato quelli pan di st[elle]	ho man- perché noi abbiamo comprato quelli pan di st[elle]	ho man- perché noi abbiamo comprato quelli pan di stelle
47	SP1	77.005	78.637	1.632	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	[va be'] sei un [maiale hai mangiato]	[va be'] sei un [maiale hai mangiato]	va be' sei un maiale hai mangiato
48	SP3	77.632	78.637	1.005	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	[che erano buoni]	[che erano buoni]	che erano buoni
49	SP3	78.8	80.0	1.2	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	si pure tu sei un maiale però	si pure tu sei un maiale però	si pure tu sei un maiale però
50	SP1	80.02	82.6	2.58	True	0	0	0	0	0	0	False	False	False	False	True	51=0.937,52=0.626,53=0.410	53 HIGH	0	0	0	10	hai [mangiato pure le salsi]cce e [un sacco di] friarielli	hai [mangiato pure le salsi]cce e [un sacco di] friarielli	hai mangiato pure le salsicce e un sacco di friarielli
51	SP3	80.184	81.121	0.937	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	[ti sto dicendo]	[ti sto dicendo]	ti sto dicendo
52	SP3	81.221	81.847	0.626	True	0	0	1	0	0	0	False	False	False	False	False	_		0	0	0	1	[perchè]	[perchè]	perché
53	SP3	82.19	84.02	1.83	True	0	0	0	0	0	0	False	False	False	False	True	50=0.410	53 HIGH	0	0	0	5	perché praticamente noi abbiamo comprato	perché praticamente noi abbiamo comprato	perché praticamente noi abbiamo comprato
54	SP3	84.1	85.92	1.82	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	questi gelati pan di stelle	questi gelati pan di stelle	questi gelati pan di stelle
55	SP3	85.92	87.42	1.5	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	che erano quelli là tipo a biscotto	che erano quelli là tipo a biscotto	che erano quelli là tipo a biscotto
56	SP3	87.5	89.342	1.842	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	che ce ne erano due in una:	che ce ne erano due in una:	che ce ne erano due in una
57	SP3	89.395	90.211	0.816	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	bustina	bustina	bustina
58	SP3	90.432	92.916	2.484	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	11	io ho detto voglio questo però voglio anche quello al caramello	io ho detto voglio questo però voglio anche quello al caramello	io ho detto voglio questo però voglio anche quello al caramello
59	SP3	93.04	94.074	1.034	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	quindi ho mangiato uno	quindi ho mangiato uno	quindi ho mangiato uno
60	SP3	94.1	95.76	1.66	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	7	di quelli io ho dato l'altro a lui	di quelli io ho dato l'altro a lui	di quelli io ho dato l'altro a lui
61	SP3	95.76	99.632	3.872	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	15	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico
62	SP3	99.98	102.02	2.04	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	12	quindi la cosa che adesso io sono il porco e tu no	quindi la cosa che adesso io sono il porco e tu no	quindi la cosa che adesso io sono il porco e tu no
63	SP3	102.86	103.695	0.835	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	lasciamo stare	lasciamo stare	lasciamo stare
64	SP2	103.716	105.86	2.144	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	in generale: per una giornata:	in generale: per una giornata:	in generale per una giornata
65	SP2	105.96	107.96	2.0	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	6	c'è stato tanto cibo un po' chiatto	c'è stato tanto cibo un po' chiatto	c'è stato tanto cibo un po' chiatto
66	SP3	108.08	110.28	2.2	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	ma è domenica è festa [lo sanno tutti]	ma è domenica è festa [lo sanno tutti]	ma è domenica è festa lo sanno tutti
67	SP2	109.647	110.9	1.253	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	[eh lo so pe][rò:]	[eh lo so pe][rò:]	eh lo so però
68	SP1	110.505	111.963	1.458	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	[mh] chiediamolo al diabete	[mh] chiediamolo al diabete	mh chiediamolo al diabete
69	SP1	111.968	114.08	2.112	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	10	di terzo tipo che avremo tra un paio di anni	di terzo tipo che avremo tra un paio di anni	di terzo tipo che avremo tra un paio di anni
70	SP2	116.021	117.453	1.432	True	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	5	tra [un paio di anni] ((ride))	tra [un paio di anni] {ride}	tra un paio di anni {ride}
71	SP3	116.2	118.658	2.458	True	0	0	1	0	0	0	False	False	False	False	False	_		0	0	0	8	[sì perchè tutti i giorni] mangio così ovviamente	[sì perchè tutti i giorni] mangio così ovviamente	sì perché tutti i giorni mangio così ovviamente
72	SP1	120.62	122.36	1.74	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	(nervosamente) mi fa venire	(nervosamente) mi fa venire	nervosamente mi fa venire
73	SP2	122.36	124.137	1.777	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	4	avete mangiato l'insalata ieri eh	avete mangiato l'insalata ieri eh	avete mangiato l'insalata ieri eh
74	SP1	124.2	125.805	1.605	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	3	ieri ho mangiato l'insalatina	ieri ho mangiato l'insalatina	ieri ho mangiato l'insalatina
75	SP2	128.12	129.768	1.648	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	no non mi guardare così che ho detto?	no non mi guardare così che ho detto?	no non mi guardare così che ho detto
76	SP1	129.932	131.495	1.563	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	2	3	vuoi sapere che c'era nell'insalatina?	vuoi sapere che c'era nell'insalatina?	vuoi sapere che c'era nell'insalatina?
77	SP1	131.5	132.905	1.405	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	2	c'erano i cubetti	c'erano i cubetti	c'erano i cubetti
78	SP2	133.2	134.5	1.3	True	0	0	0	0	0	0	False	False	False	True	True	79=0.500	HIGH	0	0	0	5	di formaggio e di sa[lame	di formaggio e di sa[lame	di formaggio e di salame
79	SP1	134.0	134.8	0.8	True	0	0	0	0	0	0	False	False	False	False	True	78=0.500,80=0.258	79 HIGH	0	0	0	2	[di provolone]	[di provolone]	di provolone
80	SP2	134.542	135.537	0.995	True	0	0	0	0	0	0	False	False	False	True	True	79=0.258,81=0.669	79 HIGH	0	0	1	2	(me l'ha] d[etto)]	(me l'ha] d[etto)]	me l'ha detto
81	SP1	134.868	135.847	0.979	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	[i: cubetti] di sa-	[i: cubetti] di sa-	i cubetti di sa-
82	SP1	135.9	137.832	1.932	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	4	e ti sembra un'insalatina [questa?]	e ti sembra un'insalatina [questa?]	e ti sembra un'insalatina questa
83	SP2	137.274	140.926	3.652	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	13	[va be'] però x non è che ha esaggerato sono degli affettati con l'insalata	[va be'] però x non è che ha esaggerato sono degli affettati con l'insalata	va be' però x non è che ha esaggerato sono degli affettati con l'insalata
84	SP2	140.942	142.016	1.074	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	c(io)è un pranzo:	c(io)è un pranzo:	cioè un pranzo
85	SP2	142.174	143.511	1.337	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	[(secondo me) non] trop[po:]	[(secondo me) non] trop[po:]	secondo me non troppo
86	SP3	142.174	142.811	0.637	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	[allora (miri)]	[allora (miri)]	allora miri
87	SP3	143.179	143.732	0.553	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	[te lo] giuro	[te lo] giuro	te lo giuro
88	SP3	143.779	145.763	1.984	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	10	ti ti fidi di me quando ti dico una cosa?	ti ti fidi di me quando ti dico una cosa?	ti ti fidi di me quando ti dico una cosa
89	SP3	145.989	148.068	2.079	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	15	c(io)è non dico non ti ho mai detto una bugia in vita mia a te	c(io)è non dico non ti ho mai detto una bugia in vita mia a te	cioè non dico non ti ho mai detto una bugia in vita mia a te
90	SP3	148.77	149.065	0.295	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	allora	allora	allora
91	SP3	150.616	151.626	1.01	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	ho messo mezza	ho messo mezza	ho messo mezza
92	SP3	152.047	153.137	1.09	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	cosa di iceberg	cosa di iceberg	cosa di iceberg
93	SP3	153.592	154.655	1.063	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	poi ci ho messo	poi ci ho messo	poi ci ho messo
94	SP3	154.82	158.232	3.412	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	quattro fette contate di salame tagliate a cubetti	quattro fette contate di salame tagliate a cubetti	quattro fette contate di salame tagliate a cubetti
95	SP3	159.04	160.532	1.492	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	mezzo pezzo di auricchio	mezzo pezzo di auricchio	mezzo pezzo di auricchio
96	SP3	160.563	162.821	2.258	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	cioè di: provolone tagliato a cubetti	cioè di: provolone tagliato a cubetti	cioè di provolone tagliato a cubetti
97	SP3	163.3	163.647	0.347	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	e	e	e
98	SP3	163.658	164.947	1.289	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	due fettine di pane	due fettine di pane	due fettine di pane
99	SP3	164.963	167.953	2.99	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	10	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino
100	SP2	168.089	168.279	0.19	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	mh	mh	mh
101	SP3	168.479	168.874	0.395	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	basta	basta	basta
102	SP3	170.44	172.568	2.128	True	0	0	0	0	0	0	False	False	False	False	True	103=1.153	HIGH	0	0	0	5	x ah è una carota:	x ah è una carota:	x ah è una carota
103	SP2	171.094	172.247	1.153	True	0	0	0	0	0	0	False	False	False	False	True	102=1.153	HIGH	0	0	0	1	xxxxxxx	xxxxxxx	xxxxxxx
104	SP3	172.58	174.3	1.72	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	4	che l'ho tagliata piccolina piccoli[na]	che l'ho tagliata piccolina piccoli[na]	che l'ho tagliata piccolina piccolina
105	SP2	174.02	175.679	1.659	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	9	[no] secondo me la carota non ci stava bene	[no] secondo me la carota non ci stava bene	no secondo me la carota non ci stava bene
106	SP3	175.68	176.46	0.78	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	invece stava bene	invece stava bene	invece stava bene
107	SP2	176.637	176.789	0.152	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	sì?	sì?	sì
108	SP2	177.5	180.34	2.84	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	9	no comunque no per me è un pranzo [standard]	no comunque no per me è un pranzo [standard]	no comunque no per me è un pranzo standard
109	SP3	179.542	180.7	1.158	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	[non è un pranzo] grasso	[non è un pranzo] grasso	non è un pranzo grasso
110	SP2	180.705	181.105	0.4	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	no	no	no
111	SP3	183.84	185.58	1.74	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	pranzo che è terminato col gelato	pranzo che è terminato col gelato	pranzo che è terminato col gelato
112	SP2	186.158	186.421	0.263	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	ah	ah	ah
113	SP3	186.679	187.78	1.101	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	[non solo per] me	[non solo per] me	non solo per me
114	SP2	186.694	187.505	0.811	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	[questo xxx]	[questo xxx]	questo xxx
115	SP3	187.9	188.66	0.76	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	ma anche per lui	ma anche per lui	ma anche per lui
116	SP3	188.732	189.074	0.342	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	quin[di]	quin[di]	quindi
117	SP2	188.853	191.64	2.787	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	9	[va be'] però comunque in generale state un pochino:	[va be'] però comunque in generale state un pochino:	va be' però comunque in generale state un pochino
118	SP2	191.647	192.937	1.29	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	dando alla pazza gioia eh	dando alla pazza gioia eh	dando alla pazza gioia eh
119	SP1	193.16	194.24	1.08	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	ma io non sto dicendo	ma io non sto dicendo	ma io non sto dicendo
120	SP1	194.32	196.632	2.312	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	marco stai mangiando come il maiale	marco stai mangiando come il maiale	marco stai mangiando come il maiale
121	SP1	196.66	197.98	1.32	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	marco avrà diabete	marco avrà diabete	marco avrà diabete
122	SP1	198.0	200.06	2.06	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	sto dicendo marco entrambi	sto dicendo marco entrambi	sto dicendo marco entrambi
123	SP1	200.18	201.86	1.68	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	assumiamoci le responsabilità	assumiamoci le responsabilità	assumiamoci le responsabilità
124	SP1	202.26	203.83	1.57	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	che noi già viviamo in una terra	che noi già viviamo in una terra	che noi già viviamo in una terra
125	SP1	203.83	206.221	2.391	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	di merda che ci porta naturalmente	di merda che ci porta naturalmente	di merda che ci porta naturalmente
126	SP1	206.242	207.205	0.963	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	a morire prima	a morire prima	a morire prima
127	SP1	207.205	208.8	1.595	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	poi mangiamo anche molto male	poi mangiamo anche molto male	poi mangiamo anche molto male
128	SP2	208.805	210.305	1.5	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	però tipo ieri avete mangiato le [xxx]	però tipo ieri avete mangiato le [xxx]	però tipo ieri avete mangiato le xxx
129	SP3	209.795	211.18	1.385	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	[parla per] te io non abito qua	[parla per] te io non abito qua	parla per te io non abito qua
130	SP1	213.0	213.9	0.9	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	marco ma va cac	marco ma va cac	marco ma va cac
131	SP2	214.737	215.405	0.668	True	0	0	0	0	0	0	False	False	False	False	True	132=0.210	HIGH	0	0	0	1	xxxx	xxxx	xxxx
132	SP3	215.195	216.22	1.025	True	0	0	0	0	0	0	False	False	False	False	True	131=0.210	HIGH	0	0	0	5	si ma questo gay drama	si ma questo gay drama	si ma questo gay drama
133	SP3	216.24	217.14	0.9	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	non ho capito	non ho capito	non ho capito
134	SP3	217.305	217.979	0.674	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	co sta cosa che	co sta cosa che	co sta cosa che
135	SP3	220.963	222.51	1.547	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	per forza dobbiamo litigarci ogni volta	per forza dobbiamo litigarci ogni volta	per forza dobbiamo litigarci ogni volta
136	SP1	224.82	225.78	0.96	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	ma se vuoi	ma se vuoi	ma se vuoi
137	SP1	226.22	227.73	1.51	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	°(possiamo anche non litigarci più)°	°(possiamo anche non litigarci più)°	possiamo anche non litigarci più
138	SP1	229.758	230.599	0.841	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	a casa mia	a casa mia	a casa mia
139	SP3	230.605	231.284	0.679	True	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	0	((ride))	{ride}	{ride}
140	SP3	231.32	233.563	2.243	True	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	9	è già la trentesima volta che lo dici (ja) ((ride))	è già la trentesima volta che lo dici (ja) {ride}	è già la trentesima volta che lo dici ja {ride}
141	SP3	233.846	234.162	0.316	True	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	0	((ride))	{ride}	{ride}
142	SP3	234.74	236.584	1.844	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	9	lo sai che non è quello che voglio quindi:	lo sai che non è quello che voglio quindi:	lo sai che non è quello che voglio quindi
143	SP1	237.5	239.61	2.11	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	°beh forse mi sono scocciato di stare [qua]°	°beh forse mi sono scocciato di stare [qua]°	beh forse mi sono scocciato di stare qua
144	SP3	239.295	241.42	2.125	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	9	[bravo] forse se tu ti sei scocciato ti riaccompagno	[bravo] forse se tu ti sei scocciato ti riaccompagno	bravo forse se tu ti sei scocciato ti riaccompagno
145	SP3	241.5	243.14	1.64	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	11	però se è per me lo sai che non è così	però se è per me lo sai che non è così	però se è per me lo sai che non è così
146	SP3	244.8	246.537	1.737	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	e evitiamo di continuare questo discorso	e evitiamo di continuare questo discorso	e evitiamo di continuare questo discorso
147	SP3	246.6	248.1	1.5	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	al momento che non mi sembra il caso	al momento che non mi sembra il caso	al momento che non mi sembra il caso
148	SP2	253.36	254.868	1.508	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	no anche perché mi deve venire il ciclo	no anche perché mi deve venire il ciclo	no anche perché mi deve venire il ciclo
149	SP2	254.9	256.51	1.61	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	mi metto a piangere se litigate	mi metto a piangere se litigate	mi metto a piangere se litigate
